variable_id,mz,rt,QC_01,QC_02,QC_03,QC_04
M74T61_2_POS,74.03256338164098,61.307199999999995,17395769.972425047,15277634.110537471,19663414.02156249,13565416.627312506
M74T104_POS,74.06046636549232,103.892,172962942.735114,203142345.95514238,176827088.16629994,187090609.42424613
M74T929_POS,74.09686309810996,929.2455,NA,63061888.24100011,NA,54971414.939728394
M75T936_POS,74.53083766954916,936.276,4734827.795801552,4618826.68285592,4932948.361930437,3980016.589863273
M75T61_POS,74.53097453049895,61.307199999999995,21408367.992387705,17997131.449780446,21585050.84144412,17204440.767262492
M75T126_POS,75.02668523167148,126.32,3132296.093644528,2683184.6148607982,3014724.837097359,3248151.2137416266
M75T72_POS,75.04441655230951,71.66975,NA,2498223.9423784073,3082534.307943136,NA
M75T104_POS,75.06382463047552,103.94149999999999,4938467.07844909,4953041.401083468,4571464.2311121095,4351597.170625
M75T762_POS,75.26506522672462,762.38,174910.3670192522,NA,151730.30650546652,149260.76935937465
M75T742_POS,75.26914180544273,742.3555,NA,196297.54766289174,199405.9988671864,NA
M75T803_POS,75.29361824942264,803.301,NA,152758.5863613313,151047.4229687468,148604.11385156153
M76T476_1_POS,75.50093640748044,476.0335,3576693.8114179745,3371830.980687507,3329684.9360937346,3872450.9527333127
M76T476_2_POS,75.61244111819359,475.9545,1279272.7667546927,1295237.8039277343,1032787.661290361,1164370.5473749994
M76T80_POS,76.03973163160111,79.69815,12302352.535014288,11435504.309071025,19433752.70944167,10354488.08592188
M77T432_POS,76.5235768399325,432.3665,120942.83717578166,NA,NA,118278.5077917971
M77T741_POS,76.59850261726456,741.418,270726.8480390612,462723.76563770167,496510.39482986357,346747.6726162111
M77T850_POS,76.80579334415256,850.1845000000001,750068.7485014179,794883.6988034869,656330.1987480437,778856.6815799308
M77T883_POS,76.80579150143778,882.525,NA,500939.8754129979,544693.5856093758,519126.7083595363
M77T748_POS,76.82234534327628,747.8115,NA,139175.28411210765,139991.91928710893,NA
M77T925_POS,77.30971284635784,925.1320000000001,188175.41078265905,149087.98476334763,118185.3005273441,144605.765768138
M78T936_POS,77.50050511762204,936.2925,3007273.9046029546,3752668.404500613,4171249.4088892923,3188955.3234375273
M78T476_1_POS,77.94339331127857,476.451,5480875.002523103,5459754.45140625,5022322.416593383,5668722.040630686
M78T939_POS,77.99891830924165,939.105,13179870.223128363,9204413.062472414,12068843.753217021,12870715.43297
M78T476_2_POS,78.0548279483407,475.9545,1983428.3575696,1898081.8079589782,1639370.8235156143,1876502.7583867037
M78T451_POS,78.12726573099727,451.467,NA,632406.0006671933,728949.6900984303,785924.1731624979
M78T476_3_POS,78.16626605176971,476.496,NA,321235.5561781267,316066.20674121083,NA
