peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,QC_01,QC_02,QC_03,QC_04
M388T283_POS,388.2111105645695,388.2109214559137,388.21129967322526,283.09749999999997,282.989,283.206,2,2,NA,NA,223942.89497981858,334063.1578660703
M388T522_POS,388.2144556416797,388.21430371247845,388.2145743011784,522.3225,522.279,522.499,4,4,1378006.3667499896,1571931.8141210757,1456695.5304622587,1511602.1159648416
M388T829_POS,388.2161769323726,388.21608556610533,388.21617928953464,828.514,827.759,828.527,3,3,176859.46474218898,NA,229459.4435071654,228725.7600750009
M388T745_POS,388.2341106204159,388.23355644644505,388.2344590383763,744.867,743.974,745.799,4,4,490595.87752441305,393105.06893055444,304265.39042284834,541809.2268125034
M388T337_POS,388.2522580675418,388.2520100552922,388.2526299536511,336.53049999999996,335.489,336.643,4,4,439661.40052500303,346258.9944687484,395483.7867296857,401155.17667499685
M388T767_POS,388.26858338989985,388.2684436579993,388.26867021500766,766.614,766.5,767.274,4,4,13389603.390882364,12889769.353085946,13729996.052262207,14759346.919935625
M388T799_POS,388.2685168528824,388.2684266816977,388.26859905526067,798.752,798.237,799.977,4,4,11799851.506438661,9700375.0082303565,9968329.573008288,9792853.338135118
M388T890_POS,388.3049366551976,388.3046368916311,388.30508402932145,890.159,889.993,890.818,4,4,127906.93674300192,109018.5899863272,98566.15201855365,96593.48262597685
M388T739_POS,388.3050912331097,388.30479137014254,388.3052966096962,739.106,737.313,739.859,3,3,381113.87265066867,NA,485525.6696220759,372826.56846094516
M388T821_POS,388.3049708792364,388.304830166173,388.3051115922998,821.0295,820.987,821.072,2,2,103008.43794921928,NA,159857.43510000178,NA
M388T722_POS,388.34124182227276,388.3410369514865,388.3413155321164,722.202,721.715,722.614,4,4,18005040.269120064,13890180.828629538,11665465.970894545,9502630.197593661
M389T795_POS,388.6424417406507,388.6416390356131,388.6432444456883,795.3545,794.961,795.748,2,2,NA,211100.86107589136,NA,211063.87167187582
M389T777_POS,388.6820043878033,388.68183197561825,388.682405609177,776.635,776.561,777.478,4,4,324808.2347919888,345265.28303571395,337515.35192884697,394547.64839843684
M389T928_POS,388.8502617070885,388.8499849277259,388.85029766532443,928.0355,927.676,929.15,4,4,616891.938822214,596215.5705533107,630721.7409814459,672260.1583777533
M389T64_POS,388.85500694944784,388.8548327580221,388.8552686919651,64.0555,64.0087,64.1729,3,3,NA,2123206.19554062,1321073.687390624,1285444.4371368727
M389T485_POS,389.1330947656323,389.1328017043314,389.133293782877,485.085,484.988,485.216,3,3,NA,315194.33793750114,337999.0210234372,371320.9754382805
M389T296_POS,389.14086545487544,389.1405784309574,389.1409950670264,295.953,295.466,296.28,4,4,1582276.6026132777,1380750.1206160658,1556171.0925000024,1621447.3748604974
