peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,QC_01,QC_02,QC_03,QC_04
M218T305_NEG,218.04572066679228,218.04538197419407,218.0459091209548,305.225,304.472,305.461,4,4,165125.81082649674,116960.92388448637,173618.52319905578,187863.24415178547
M218T418_NEG,218.08538781503523,218.08522159438024,218.08554195245657,417.924,417.4,418.494,4,4,597545.6605898461,566281.5832792942,570335.1667734396,589304.6143291005
M218T132_NEG,218.103165134042,218.1031044294452,218.10322942100035,131.514,130.797,131.575,4,4,10500102.740848627,10818662.41866444,11016647.75846231,11092573.71401785
M219T937_NEG,218.85349939781872,218.85345982375318,218.85353835973325,937.4715,936.442,937.661,4,4,303824.86506597284,408575.8939767382,311848.42215929,466686.9743359389
M219T81_NEG,218.90499658061674,218.90490127141234,218.90504473229473,80.56275,79.7799,80.6215,4,4,4116072.025526371,4311067.813098047,4974550.959657715,4437891.986859376
M219T76_NEG,219.0140706637029,219.01401212860895,219.01410661526984,75.7363,74.8948,76.4904,4,4,35672036.5366311,33719884.05739665,35065694.540608205,36332434.460772395
M219T199_NEG,219.05090514513577,219.05085194465786,219.0509993047406,198.80200000000002,198.323,199.234,4,4,18454344.491282616,15848696.05649998,18986764.126991067,18261846.894055557
M219T732_NEG,219.17483424231943,219.174646464431,219.175021964002,732.3254999999999,731.482,744.814,4,3,NA,304865.66457382846,336319.83040634124,275700.3072578128
M219T719_NEG,219.1747409165529,219.17472246615125,219.17512757766323,719.154,718.162,719.697,3,3,256852.5788362148,NA,337476.9134709807,272470.41743164184
M219T941_NEG,219.17511719410027,219.17507561199557,219.17525837899413,941.364,940.923,941.798,3,3,441544.05205781315,402518.4114006767,445215.96580143296,NA
M220T173_NEG,219.92726131935638,219.92687114511367,219.92745674988265,173.17700000000002,172.763,173.646,4,4,78510.14704757251,79742.2270442707,76561.13252120517,103894.94722005179
M220T66_NEG,219.97783526849884,219.97780283595932,219.97786770103832,66.1258,66.1044,66.1472,2,2,2209073.7583001535,1934333.0405043706,NA,NA
M220T76_NEG,220.01754575406554,220.00708150102807,220.0179067789108,75.7126,69.3825,77.3881,5,4,1477360.9631605467,2149145.813005859,817102.1736052728,2461848.9055509362
M221T93_NEG,220.8139975533818,220.81357517556594,220.8140038267141,92.9315,92.8315,92.9625,3,3,288751.10430109873,184740.56598238277,218007.8460136721,NA
M221T936_NEG,220.84894911890953,220.84877626836675,220.8491219694523,936.476,935.62,937.332,2,2,NA,NA,119316.55416328202,144728.35285107596
