variable_id,mz,rt,QC_01,QC_02,QC_03,QC_04
M94T1078_NEG,94.02840958904753,1078,NA,726606.8069318277,NA,1460251.3782568434
M94T1034_NEG,94.02838187280605,1034.48,NA,1766816.9092864513,NA,1726473.4633149225
M94T1005_NEG,94.02837489153929,1005.47,NA,1063997.1714269326,NA,1052519.0211577176
M94T834_1_NEG,94.16739803566193,833.9855,694380.6752343817,435962.1626601565,557206.3936302072,615718.0920563663
M94T834_2_NEG,94.27890220937945,833.905,334000.6409251319,142902.20005175838,213481.65078124823,NA
M95T65_NEG,94.92351681027077,64.5439,2628616.9960499965,2425010.2048049984,2494072.5957421823,NA
M95T70_NEG,94.9792624457168,70.17235,726269.1252855482,1482608.4383620664,1506867.8271539945,1214100.841192708
M96T71_NEG,95.94789586549419,70.90265,2893619.6484621125,2612465.2379864594,2968833.628043236,2919072.0979968775
M96T85_NEG,95.94789655632498,85.0887,1431203.1515149558,1736970.2633798844,1612953.7844461815,1459184.7196299485
M96T398_NEG,95.94790836136221,398.317,5331540.026200008,5147942.995984362,5307298.061058228,5146491.670234354
M96T251_NEG,95.94789661068125,251.37,6002483.330627091,4522716.134883514,8709954.427531257,7085428.864317933
M96T410_NEG,96.00762456881438,410.4505,2945007.544943018,3644903.15941448,4220221.938101903,NA
M96T305_NEG,96.00763383751124,304.55,13092374.8130592,16411987.708557967,13138820.9773338,19565948.420431066
M96T363_NEG,96.00763882096308,362.656,11845836.228175003,NA,12897918.204279628,NA
M96T104_NEG,96.00762917084978,103.977,NA,8398807.904384444,NA,4981774.556062098
M96T234_NEG,96.0076334595835,233.927,NA,4921036.40680649,10613756.1775,5456745.0974153215
M96T81_NEG,96.26697304851928,81.4245,715562.7319329369,673469.5845533855,869197.5123717441,1188265.1657816402
M97T81_1_NEG,96.72719468891724,80.5874,4345736.093657004,4139691.867019734,5947609.795312764,7744152.075588541
M97T81_2_NEG,96.95858539023186,80.5874,3584951962.7106876,3625992988.925306,3763135752.531166,3678563473.72364
